User id,Experience,Auto,Mode
1DR,14,Geely Coolray,Ильич Авто
2DR,17,Nissan Qashqai,АвтоПарк
3DR,8,Hyundai Solaris,Нормальный парк
4DR,34,Kia Cerato,АвтоПарк
5DR,22,Toyota RAV4,Такси Для Души
6DR,6,Lada Granta,Нормальный парк
7DR,34,Geely Coolray,Таксуя Жируя
8DR,6,VW Polo,Честный драйвер
9DR,21,Lada Granta,Ездоки
10DR,16,Renault Sandero,Такси Для Души
11DR,38,Lada Granta,Честный драйвер
12DR,4,Lada Granta,Топ парк ин зе ворлд
13DR,17,Geely Atlas Pro,Понемногу Рулим
14DR,9,Nissan Qashqai,СМЗ/ИП
15DR,27,Kia Seltos,Ильич Авто
16DR,21,УАЗ Патриот,Такси Для Души
17DR,11,Skoda Rapid,Понемногу Рулим
18DR,14,Haval Jolion,Такси Для Души
19DR,10,Hyundai Tucson,СМЗ/ИП
20DR,17,Geely Coolray,Челябинск Авто
21DR,29,Renault Sandero,Честный драйвер
22DR,17,Lada Niva,Понемногу Рулим
23DR,22,Kia Sportage,Таксасин
24DR,13,Nissan Qashqai,Ездоки
25DR,32,VW Polo,Таксасин
26DR,17,Renault Duster,АвтоПарк
27DR,28,Kia Seltos,Таксуя Жируя
28DR,25,Nissan X-Trail,Нормальный парк
29DR,33,Lada Largus,Нормальный парк
30DR,20,Hyundai Creta,Ильич Авто
31DR,13,Mazda CX-5,Таксасин
32DR,37,Nissan Qashqai,Таксасин
33DR,12,Hyundai Tucson,Таксасин
34DR,20,Kia Seltos,СМЗ/ИП
35DR,6,Kia Seltos,АвтоПарк
36DR,16,Kia Seltos,АвтоПарк
37DR,39,Renault Sandero,Топ парк ин зе ворлд
38DR,18,Lada Niva,Понемногу Рулим
39DR,9,Haval F7,Ездоки
40DR,32,Lada Granta,Такси Для Души
41DR,29,Mazda CX-5,Ильич Авто
42DR,3,Lada Granta,Таксасин
43DR,4,Geely Atlas Pro,Таксуя Жируя
44DR,34,VW Polo,Челябинск Авто
45DR,18,Lada Largus,Такси Для Души
46DR,30,Renault Logan,Такси Для Души
47DR,40,Kia Seltos,Ездоки
48DR,17,Renault Duster,Ильич Авто
49DR,10,Hyundai Creta,Ездоки
50DR,7,Skoda Rapid,Такси Для Души
51DR,32,Kia Rio,Ездоки
52DR,6,Toyota RAV4,Челябинск Авто
53DR,3,Nissan X-Trail,Нормальный парк
54DR,20,Renault Duster,Таксуя Жируя
55DR,18,Lada Niva,Нормальный парк
56DR,33,Geely Coolray,Ильич Авто
57DR,24,Lada Largus,СМЗ/ИП
58DR,40,Renault Sandero,Честный драйвер
59DR,28,УАЗ Патриот,Честный драйвер
60DR,16,Mazda CX-5,Нормальный парк
61DR,9,Toyota RAV4,Честный драйвер
62DR,29,Geely Atlas Pro,Челябинск Авто
63DR,18,Lada Granta,АвтоПарк
64DR,39,Hyundai Tucson,Челябинск Авто
65DR,36,Lada Largus,Такси Для Души
66DR,23,Skoda Rapid,Нормальный парк
67DR,39,Hyundai Solaris,Такси Для Души
68DR,32,Renault Sandero,СМЗ/ИП
69DR,36,Kia Sportage,Ильич Авто
70DR,20,Mazda CX-5,Челябинск Авто
71DR,7,Geely Atlas Pro,Честный драйвер
72DR,38,Lada Largus,СМЗ/ИП
73DR,19,Geely Atlas Pro,Честный драйвер
74DR,13,Haval Jolion,АвтоПарк
75DR,11,Hyundai Tucson,Таксасин
76DR,21,Renault Logan,Честный драйвер
77DR,35,Renault Logan,АвтоПарк
78DR,28,УАЗ Патриот,Понемногу Рулим
79DR,35,УАЗ Патриот,Ездоки
80DR,24,УАЗ Патриот,Честный драйвер
81DR,24,Renault Logan,Челябинск Авто
82DR,29,Geely Atlas Pro,Понемногу Рулим
83DR,32,Haval F7,Понемногу Рулим
84DR,35,Geely Atlas Pro,Понемногу Рулим
85DR,5,Hyundai Solaris,Челябинск Авто
86DR,27,Lada Vesta,Челябинск Авто
87DR,24,Hyundai Solaris,Челябинск Авто
88DR,27,Haval F7,Таксасин
89DR,35,Geely Coolray,Таксуя Жируя
90DR,4,Hyundai Tucson,Топ парк ин зе ворлд
91DR,25,Renault Sandero,Челябинск Авто
92DR,24,Kia Rio,Понемногу Рулим
93DR,16,Hyundai Tucson,Такси Для Души
94DR,33,Haval Jolion,Такси Для Души
95DR,30,Hyundai Tucson,Такси Для Души
96DR,12,Nissan X-Trail,Челябинск Авто
97DR,32,Hyundai Creta,Нормальный парк
98DR,14,Lada Vesta,Таксуя Жируя
99DR,24,Hyundai Tucson,СМЗ/ИП
100DR,3,Geely Coolray,Топ парк ин зе ворлд
101DR,12,Kia Sportage,СМЗ/ИП
102DR,36,Toyota RAV4,Такси Для Души
103DR,13,Lada Niva,АвтоПарк
104DR,34,Hyundai Solaris,Честный драйвер
105DR,16,Geely Atlas Pro,Нормальный парк
106DR,21,Nissan X-Trail,Таксуя Жируя
107DR,19,Mazda CX-5,Таксуя Жируя
108DR,31,Nissan X-Trail,Топ парк ин зе ворлд
109DR,24,Hyundai Creta,Ездоки
110DR,15,Lada Niva,Нормальный парк
111DR,39,Nissan Qashqai,Топ парк ин зе ворлд
112DR,24,Kia Sportage,СМЗ/ИП
113DR,36,Renault Duster,Таксуя Жируя
114DR,38,Kia Rio,Честный драйвер
115DR,35,VW Polo,СМЗ/ИП
116DR,13,Lada Largus,СМЗ/ИП
117DR,4,Renault Sandero,АвтоПарк
118DR,33,Hyundai Solaris,Топ парк ин зе ворлд
119DR,25,Kia Seltos,Таксуя Жируя
120DR,28,Kia Rio,Понемногу Рулим
121DR,5,Geely Atlas Pro,Ильич Авто
122DR,38,Lada Niva,Нормальный парк
123DR,20,Renault Sandero,Такси Для Души
124DR,5,Haval F7,Челябинск Авто
125DR,10,Nissan X-Trail,Ездоки
126DR,9,Kia Rio,Такси Для Души
127DR,33,Kia Sportage,Поневоле мы за рулем
128DR,38,Lada Largus,Таксуя Жируя
129DR,31,УАЗ Патриот,АвтоПарк
130DR,7,Lada Vesta,Поневоле мы за рулем
131DR,7,Kia Seltos,АвтоПарк
132DR,5,Haval Jolion,Таксасин
133DR,28,Haval F7,Таксуя Жируя
134DR,40,УАЗ Патриот,АвтоПарк
135DR,34,Nissan X-Trail,Такси Для Души
136DR,12,Haval Jolion,Такси Для Души
137DR,39,Kia Seltos,Таксасин
138DR,4,Mazda CX-5,Ездоки
139DR,33,Lada Niva,Ездоки
140DR,12,Lada Largus,Таксасин
141DR,10,Kia Rio,Нормальный парк
142DR,6,Nissan Qashqai,Ильич Авто
143DR,10,Renault Duster,Нормальный парк
144DR,31,Mazda CX-5,Таксуя Жируя
145DR,29,Haval F7,Нормальный парк
146DR,36,Geely Atlas Pro,СМЗ/ИП
147DR,17,Nissan X-Trail,Такси Для Души
148DR,12,Kia Sportage,АвтоПарк
149DR,34,Haval Jolion,СМЗ/ИП
150DR,9,Haval F7,Ильич Авто
151DR,16,Renault Sandero,Таксуя Жируя
152DR,13,Lada Granta,Таксуя Жируя
153DR,38,Kia Cerato,Ильич Авто
154DR,13,Hyundai Creta,Нормальный парк
155DR,35,Toyota RAV4,Понемногу Рулим
156DR,16,Kia Rio,СМЗ/ИП
157DR,6,Haval F7,Таксасин
158DR,18,Nissan Qashqai,Таксасин
159DR,17,Nissan X-Trail,Таксасин
160DR,33,Geely Atlas Pro,Таксуя Жируя
161DR,22,Skoda Rapid,Челябинск Авто
162DR,26,Kia Seltos,Таксуя Жируя
163DR,15,Lada Granta,Таксуя Жируя
164DR,23,Kia Rio,Таксасин
165DR,24,VW Polo,Челябинск Авто
166DR,32,Hyundai Creta,Челябинск Авто
167DR,7,Lada Largus,Честный драйвер
168DR,5,Kia Sportage,Таксуя Жируя
169DR,6,Kia Rio,Такси Для Души
170DR,14,Geely Coolray,Таксуя Жируя
171DR,20,Hyundai Creta,Топ парк ин зе ворлд
172DR,9,Geely Coolray,Нормальный парк
173DR,11,VW Polo,Топ парк ин зе ворлд
174DR,40,Lada Niva,Таксуя Жируя
175DR,31,Kia Seltos,Нормальный парк
176DR,4,Renault Duster,Таксуя Жируя
177DR,20,Kia Seltos,Таксуя Жируя
178DR,12,Toyota RAV4,Такси Для Души
179DR,28,Hyundai Creta,Таксасин
180DR,35,Renault Sandero,Ездоки
181DR,36,Lada Vesta,Ездоки
182DR,20,Hyundai Tucson,Ильич Авто
183DR,27,УАЗ Патриот,Топ парк ин зе ворлд
184DR,19,Renault Sandero,Понемногу Рулим
185DR,32,Mazda CX-5,Такси Для Души
186DR,12,Lada Niva,СМЗ/ИП
187DR,13,Lada Largus,Таксасин
188DR,7,Haval Jolion,Поневоле мы за рулем
189DR,23,УАЗ Патриот,Челябинск Авто
190DR,33,Kia Cerato,СМЗ/ИП
191DR,22,Geely Coolray,Поневоле мы за рулем
192DR,32,Lada Largus,Топ парк ин зе ворлд
193DR,14,Haval Jolion,Такси Для Души
194DR,11,Lada Largus,Таксасин
195DR,19,Mazda CX-5,АвтоПарк
196DR,38,Nissan X-Trail,Таксуя Жируя
197DR,15,Renault Duster,Такси Для Души
198DR,14,Lada Largus,Честный драйвер
199DR,28,Renault Logan,Нормальный парк
200DR,17,Geely Coolray,Такси Для Души
201DR,10,Geely Coolray,Таксасин
202DR,31,Geely Coolray,Топ парк ин зе ворлд
203DR,18,Toyota RAV4,АвтоПарк
