,Date,City,Tariff,Price,Driver id,Rate,Order merhod,User id
0,2023-06-16T00:00:00.000000000,Samara,Econom,2877,647DR,1,Call-center,1623USR
1,2023-06-17T00:00:00.000000000,Sochi,Minivan,6225,847DR,4,Browser,499USR
2,2023-06-17T00:00:00.000000000,Saint-Petersburg,Minivan,6878,324DR,5,iOS,1482USR
3,2023-06-04T00:00:00.000000000,Samara,Econom,2578,466DR,2,Browser,2826USR
4,2023-06-04T00:00:00.000000000,Moscow,Uber,3112,885DR,3,Call-center,2505USR
5,2023-06-19T00:00:00.000000000,Saint-Petersburg,Uber,771,806DR,3,Android,2819USR
6,2023-06-15T00:00:00.000000000,Samara,Minivan,1554,863DR,2,Browser,3473USR
7,2023-06-08T00:00:00.000000000,Moscow,Uber,4254,601DR,1,iOS,3357USR
8,2023-06-19T00:00:00.000000000,Krasnodar,Uber,5366,789DR,1,Browser,385USR
9,2023-06-24T00:00:00.000000000,Krasnodar,Uber,5661,649DR,4,Call-center,3206USR
10,2023-06-26T00:00:00.000000000,Vladivostok,Minivan,5458,862DR,4,Browser,1771USR
11,2023-06-01T00:00:00.000000000,Moscow,Econom,1960,563DR,3,Call-center,3505USR
12,2023-06-02T00:00:00.000000000,Sochi,Minivan,6086,360DR,4,Browser,771USR
13,2023-06-11T00:00:00.000000000,Kazan,Minivan,4843,356DR,5,iOS,684USR
14,2023-06-04T00:00:00.000000000,Kazan,Econom,2124,54DR,3,Android,3112USR
15,2023-06-13T00:00:00.000000000,Kaliningrad,Uber,2502,1DR,4,iOS,2463USR
16,2023-06-11T00:00:00.000000000,Barnaul,Businnes,1367,315DR,1,iOS,1485USR
17,2023-06-30T00:00:00.000000000,Moscow,Minivan,5331,669DR,2,Android,916USR
18,2023-06-25T00:00:00.000000000,Kazan,Uber,5157,55DR,2,Android,3322USR
19,2023-06-09T00:00:00.000000000,Ufa,Uber,4539,686DR,4,Browser,2979USR
20,2023-06-18T00:00:00.000000000,Tver,Businnes,3323,60DR,2,Browser,1214USR
21,2023-06-26T00:00:00.000000000,Saint-Petersburg,Minivan,5073,91DR,1,Android,1564USR
22,2023-06-30T00:00:00.000000000,Kaliningrad,Businnes,8085,356DR,3,Android,3402USR
23,2023-06-13T00:00:00.000000000,Krasnodar,Businnes,4848,288DR,3,Browser,1259USR
24,2023-06-01T00:00:00.000000000,Sochi,Econom,405,591DR,1,iOS,3164USR
25,2023-06-09T00:00:00.000000000,Saint-Petersburg,Uber,2829,442DR,5,Android,353USR
26,2023-06-26T00:00:00.000000000,Ufa,Uber,1637,143DR,4,Call-center,138USR
27,2023-06-11T00:00:00.000000000,Kazan,Uber,3383,420DR,3,Call-center,953USR
28,2023-06-14T00:00:00.000000000,Vladivostok,Minivan,894,659DR,3,Browser,578USR
29,2023-06-05T00:00:00.000000000,Barnaul,Uber,1705,263DR,5,Call-center,1791USR
30,2023-06-01T00:00:00.000000000,Vladivostok,Econom,2638,166DR,2,iOS,265USR
31,2023-06-23T00:00:00.000000000,Krasnodar,Uber,2290,604DR,5,Android,569USR
32,2023-06-03T00:00:00.000000000,Moscow,Uber,1414,490DR,1,Call-center,2008USR
33,2023-06-03T00:00:00.000000000,Barnaul,Uber,849,426DR,4,Android,2362USR
34,2023-06-28T00:00:00.000000000,Samara,Uber,1786,456DR,3,Call-center,3049USR
35,2023-06-15T00:00:00.000000000,Samara,Businnes,6592,395DR,2,iOS,58USR
36,2023-06-01T00:00:00.000000000,Sochi,Businnes,2216,193DR,5,iOS,828USR
37,2023-06-09T00:00:00.000000000,Ufa,Minivan,6872,608DR,3,iOS,3146USR
38,2023-06-23T00:00:00.000000000,Kazan,Econom,708,7DR,3,Android,571USR
39,2023-06-24T00:00:00.000000000,Kaliningrad,Minivan,4672,237DR,1,Call-center,313USR
40,2023-06-18T00:00:00.000000000,Kazan,Businnes,4355,172DR,1,iOS,1536USR
41,2023-06-01T00:00:00.000000000,Saint-Petersburg,Econom,165,23DR,3,Call-center,249USR
42,2023-06-05T00:00:00.000000000,Tver,Minivan,2509,573DR,2,Android,1448USR
43,2023-06-21T00:00:00.000000000,Ufa,Businnes,2183,485DR,5,iOS,1344USR
44,2023-06-13T00:00:00.000000000,Sochi,Businnes,4383,894DR,5,Call-center,239USR
45,2023-06-20T00:00:00.000000000,Moscow,Uber,1835,817DR,4,Android,242USR
46,2023-06-22T00:00:00.000000000,Saint-Petersburg,Uber,3126,150DR,1,Browser,1179USR
47,2023-06-20T00:00:00.000000000,Samara,Uber,5178,755DR,4,Android,1938USR
48,2023-06-18T00:00:00.000000000,Barnaul,Businnes,8681,646DR,5,Browser,3445USR
49,2023-06-28T00:00:00.000000000,Ufa,Econom,1292,370DR,3,iOS,2532USR
50,2023-06-19T00:00:00.000000000,Sochi,Businnes,4118,687DR,5,Android,496USR
